Score: 45 | ID: yt_htHfSHtZo6c | Source: Nopadol's Story (Productivity/หนังสือ) | Title: EP 2891 Cognitive Money สร้างความสุขด้วยปัญญาการรู้คิดเพื่อพัฒนาชีวิตการเงินที่ดี
Score: 41 | ID: yt_RMmEB9ajmdo | Source: Y Combinator | Title: Meet The DevTool Founders Building For AI Agents
Score: 40 | ID: yt_bfSqQapzdwY | Source: The Money Coach (การเงิน/ธุรกิจ) | Title: มือใหม่วางแผนซื้อบ้านหลังแรก ต้องคิดเรื่องอะไรบ้าง?
Score: 30 | ID: yt_unTqAJVuoro | Source: The Money Coach (การเงิน/ธุรกิจ) | Title: อยากทำประกันชีวิต เลือกทุนประกันเท่าไหร่ดี ?
Score: 30 | ID: yt_Aq5vOykQaXE | Source: The Money Coach (การเงิน/ธุรกิจ) | Title: ตกงานแต่แบงก์ไม่ช่วย! วิธี "สู้ยิบตา" เจรจาหนี้บ้าน ให้รอด! | มันนีโค้ชพบประชาชน  [9 มิ.ย 69]
Score: 30 | ID: yt_LOcSCcfDCjo | Source: The Money Coach (การเงิน/ธุรกิจ) | Title: เงินแต๊ะเอีย ต้องยื่นภาษีไหม...
Score: 30 | ID: yt_jnMOgfaQj3Q | Source: The Money Coach (การเงิน/ธุรกิจ) | Title: The Money Deal สัญญาใจก่อนใช้เงินอนาคต
Score: 30 | ID: yt_rKAvZBIay_Q | Source: The Money Coach (การเงิน/ธุรกิจ) | Title: ฝันอยากได้อะไร ต้องมีแผนการ!
Score: 30 | ID: yt_U6kaR-NL6_I | Source: The Money Coach (การเงิน/ธุรกิจ) | Title: รายได้เพิ่ม แต่เงินไม่เหลือ เพราะ Lifestyle Inflation
Score: 30 | ID: yt_XnTmutblAmM | Source: The Money Coach (การเงิน/ธุรกิจ) | Title: วางแผนเกษียณฉบับ LGBTQ+ ไม่มีลูกหลานดูแล ต้องเตรียมตัวอย่างไร?   l The Money Coach Podcast EP.104
Score: 30 | ID: yt_tymlWzFmGds | Source: The Money Coach (การเงิน/ธุรกิจ) | Title: Why Big Sales Don’t Mean Big Profit ยอดขายปัง ทำไม ตังค์ไม่เหลือ?
Score: 30 | ID: yt_PHZ2aK7eeMc | Source: The Money Coach (การเงิน/ธุรกิจ) | Title: 📣 อยากมีธุรกิจ ต้องห้ามพลาด! DBD Franchise Pavilion 2026
Score: 30 | ID: yt_XMwXa-RJ-Ek | Source: The Money Coach (การเงิน/ธุรกิจ) | Title: เปลี่ยนทรัพย์สินในมือให้เป็นโอกาส  ด้วยสินเชื่อทรัพย์ค้ำประกัน
Score: 30 | ID: yt_A5oYUQ-pmQQ | Source: Thomas Frank (Productivity/Learning) | Title: The ultimate guide to YouTube sponsorships and brand deals
Score: 29 | ID: yt_jikOaczZxTY | Source: Y Combinator | Title: How a Private Chef Startup Went All In on AI Agents
Score: 29 | ID: yt_1egwM88T3C0 | Source: Y Combinator | Title: How to Give AI Agents Enough Context to Be Useful
Score: 29 | ID: yt__y7siiS-V5A | Source: Y Combinator | Title: From Zapier for Devs to Powering 90% AI Agents
Score: 29 | ID: yt_UpWNdSVWA7M | Source: Y Combinator | Title: The Q/A Layer for the AI Coding Era
Score: 27 | ID: yt_W3fgDdDOOeU | Source: THE STANDARD WEALTH | Title: เสียงสะท้อนจากประชาชน ถึงเวลาข้าราชการไทยต้องพึ่ง AI?
Score: 27 | ID: yt_sUUY8akCbjo | Source: THE STANDARD WEALTH | Title: ไทยโตการใช้ AI เร็วเป็นอันดับ 2 ของโลก รองจากเกาหลีใต้ แต่ยังมีอีกกว่า 87.6% ที่ยังไม่เริ่มใช้
Score: 27 | ID: yt_CTHFBXULU7o | Source: THE STANDARD WEALTH | Title: ถ้า AI ทำงานแทนเด็กจบใหม่ได้เกือบหมด คนรุ่นใหม่ควรสร้างคุณค่าอะไรให้ตัวเอง
Score: 25 | ID: yt_YLfu2Bd5Jxg | Source: THE STANDARD WEALTH | Title: ‘หุ้นกู้ IRPC 2026’ โชว์จุดแข็งการเงิน สร้างความมั่นใจนักลงทุนสู้ทุกความผันผวน | THE STANDARD WEALTH
Score: 24 | ID: yt_i83WzFygvZ4 | Source: The School of Life (Philosophy) | Title: How to Be More Straightforward
Score: 24 | ID: yt_1_uw5lY1Xuk | Source: The School of Life (Philosophy) | Title: In Praise of Short-Term Love
Score: 22 | ID: yt_e89rVf4Pf0k | Source: Huberman Lab | Title: Master Self Control & Overcome Procrastination | Dr. Kentaro Fujita
Score: 22 | ID: yt_KkgFTWvEpOU | Source: The School of Life (Philosophy) | Title: The Perfectionist Trap #psychology #animation #theschooloflife
Score: 22 | ID: yt_23CZ164ej64 | Source: The School of Life (Philosophy) | Title: Love and Self-Love  #psychology #animation #theschooloflife
Score: 17 | ID: yt_X1NXnLRNIfM | Source: Y Combinator | Title: The ERP for the AI Revolution is here
Score: 17 | ID: yt_ZVdgiuiOQ7E | Source: Y Combinator | Title: Circle CEO: 3 Things That Will Transform Stablecoins in 2027
Score: 17 | ID: yt_cSBdukYWWxQ | Source: Y Combinator | Title: The Data Layer for the Robot Economy
