ID: yt_4L4x67B8N-M | Source: Mission To The Moon Media | Title: อย่ามัวแต่เก็บเงินจนไม่มีเวลาใช้ชีวิต #สรุปหนังสือ Die with Zero | Mission To The Moon EP.2689
ID: yt_jikOaczZxTY | Source: Y Combinator | Title: How a Private Chef Startup Went All In on AI Agents
ID: yt_1egwM88T3C0 | Source: Y Combinator | Title: How to Give AI Agents Enough Context to Be Useful
ID: yt_RMmEB9ajmdo | Source: Y Combinator | Title: Meet The DevTool Founders Building For AI Agents
ID: yt__y7siiS-V5A | Source: Y Combinator | Title: From Zapier for Devs to Powering 90% AI Agents
ID: yt_CTHFBXULU7o | Source: THE STANDARD WEALTH | Title: ถ้า AI ทำงานแทนเด็กจบใหม่ได้เกือบหมด คนรุ่นใหม่ควรสร้างคุณค่าอะไรให้ตัวเอง
ID: yt_zpCWFhEv_EI | Source: Nopadol's Story (Productivity/หนังสือ) | Title: EP 2893 (WE 323) Book Review ใช้แรงทำเงินให้เงินทำงาน
ID: yt_sNz4k5BQg30 | Source: Ali Abdaal (Productivity/Life) | Title: This book helped me be financially free
ID: yt_J82zFDyYck0 | Source: Ali Abdaal (Productivity/Life) | Title: My 1st business: £200 from 4 students
ID: yt_L7xvwsg7WA8 | Source: Ali Abdaal (Productivity/Life) | Title: Freedom is your new currency
ID: yt_A5oYUQ-pmQQ | Source: Thomas Frank (Productivity/Learning) | Title: The ultimate guide to YouTube sponsorships and brand deals
ID: yt_XImly72tLw0 | Source: Thomas Frank (Productivity/Learning) | Title: How I Automate My Finances
